recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Koolhydraatarme pannenkoeken,270.0,2.0,1.0,200.0,9.0,25.0,12.0,1.0
Koolhydraatarme sandwich,360.0,18.0,8.0,800.0,15.0,22.0,3.0,17.0
Koolhydraatarme snack: komkommerrolletjes met roomkaas &amp; tomatentapenade,30.0,2.0,1.0,80.0,1.0,2.0,1.0,1.0
Koolhydraatarme snack: witlofhapje met kip-pindasalade,65.0,2.0,2.0,120.0,7.0,3.0,1.0,1.0
Koolhydraatarme wentelteefjes,230.0,10.0,3.0,240.0,13.0,13.0,2.0,10.0
Koolhydraatarme wrap van sla,250.0,6.0,5.0,800.0,17.0,17.0,6.0,2.0
Koolraapquiche met gerookte kip,600.0,40.0,0.0,1260.0,24.0,37.0,19.0,5.0
Koolrabicarpaccio met bloodymarydressing,230.0,5.0,0.0,250.0,8.0,19.0,7.0,2.0
Koolsalade met ahornsiroop ,195.0,24.0,0.0,15.0,3.0,9.0,1.0,4.0
Koolsalade met romige mosterddressing,265.0,26.0,25.0,360.0,4.0,15.0,1.0,5.0
Koolsoep met varkensreepjes,600.0,73.0,0.0,0.0,28.0,21.0,0.0,0.0
Koolstamppot,645.0,56.0,0.0,0.0,22.0,38.0,0.0,0.0
Koolvispakketjes met broccoli,570.0,34.0,0.0,810.0,31.0,33.0,20.0,6.0
"Koolwraps met vegagehakt, komkommer en radijs",135.0,9.0,0.0,320.0,12.0,4.0,1.0,6.0
Koreaanse bibimbap,565.0,36.0,0.0,563.0,27.0,33.0,9.0,4.0
Koreaanse burgertjes,385.0,45.0,0.0,0.0,27.0,9.0,0.0,0.0
Koriander-roomsaus,75.0,3.0,3.0,120.0,2.0,6.0,4.0,0.0
Korianderhummus,135.0,9.0,0.0,90.0,4.0,8.0,1.0,4.0
Korstdeeg voor quiche,385.0,38.0,0.0,0.0,8.0,22.0,0.0,0.0
Koude Opperdoezersoep met pancetta ,370.0,24.0,0.0,1930.0,7.0,23.0,14.0,3.0
Koude curry-komkommersoep,215.0,9.0,0.0,1365.0,7.0,16.0,13.0,4.0
Koude noedelsalade met kruidenolie,480.0,51.0,6.0,680.0,13.0,24.0,4.0,5.0
Koudgerookte zalm met bieten-gembersaus van Jord Althuizen,200.0,7.0,0.0,1000.0,15.0,12.0,2.0,1.0
Krabkoekjes met dipsaus,145.0,5.0,0.0,285.0,4.0,12.0,2.0,0.0
Kreeft met botersaus,175.0,3.0,0.0,0.0,5.0,15.0,0.0,0.0
Krielsalade met jonge kapucijners,550.0,58.0,0.0,0.0,24.0,23.0,0.0,0.0
Krieltjes en courgette,335.0,44.0,0.0,0.0,7.0,15.0,0.0,0.0
Krieltjes in de schil met steak de boeuf en sperziebonen,740.0,60.0,0.0,635.0,32.0,38.0,22.0,14.0
Krieltjes uit de airfryer,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krieltjessalade met bieten en augurksalsa,430.0,33.0,0.0,1520.0,24.0,20.0,6.0,9.0
Krieltjessalade met komkommer en milde jalapeñopesto,425.0,49.0,8.0,520.0,13.0,18.0,8.0,10.0
Kroatische rizot met mosselen,605.0,76.0,0.0,0.0,22.0,22.0,0.0,0.0
Krokante kaas-uienringen,875.0,44.0,0.0,760.0,18.0,68.0,15.0,4.0
Krokante kabeljauwhaas met peterseliepuree,570.0,65.0,0.0,640.0,34.0,17.0,6.0,10.0
Krokante kaneelkrans,325.0,49.0,0.0,255.0,7.0,11.0,5.0,2.0
Krokante kip met crunchy bonen en stoomaardappeltjes,895.0,66.0,0.0,200.0,44.0,47.0,8.0,16.0
Krokante kip met geroosterde aardappeltjes,805.0,68.0,0.0,200.0,36.0,40.0,6.0,12.0
Krokante kip met sesamrijst,575.0,68.0,0.0,85.0,30.0,19.0,3.0,6.0
Krokante kiphaasjes met gnocchi en courgette,920.0,102.0,0.0,1000.0,44.0,36.0,5.0,6.0
Krokante mayokip,860.0,76.0,0.0,840.0,39.0,41.0,10.0,15.0
Krokante schnitzel met zoete-aardappelgratin en broccoli,855.0,80.0,0.0,1160.0,41.0,38.0,13.0,14.0
Krokante speklapjes en wokgroente met zoetzure saus,940.0,82.0,0.0,895.0,36.0,50.0,15.0,9.0
"Krokante tortilla met hummus, groene kruiden en witte kaas",420.0,39.0,0.0,760.0,13.0,22.0,6.0,7.0
Krokante zalm met bloemkool en notenrijst,740.0,55.0,20.0,1360.0,38.0,39.0,6.0,8.0
Kruidenboter geïnspireerd op Café de Paris,250.0,2.0,1.0,280.0,1.0,26.0,17.0,1.0
Kruidenboter met bieslook en dille,190.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0
Kruidenboter-kaaskrans,250.0,20.0,0.0,360.0,11.0,14.0,8.0,1.0
Kruidenboterrolletjes,210.0,23.0,0.0,240.0,4.0,11.0,8.0,1.0
Kruidencouscous met gegrilde asperges,625.0,64.0,0.0,200.0,23.0,29.0,9.0,8.0
Kruidendip,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kruidendip met cottagecheese,50.0,2.0,2.0,160.0,6.0,2.0,1.0,0.0
Kruidenfusilli met kabeljauw en groenten uit de oven,575.0,63.0,0.0,545.0,36.0,18.0,3.0,8.0
Kruidenpannenkoekjes,510.0,56.0,0.0,0.0,8.0,17.0,0.0,0.0
Kruidenquiche met geitenkaas en chorizo,750.0,34.0,0.0,900.0,26.0,55.0,29.0,6.0
Kruidenquiche met ham en prei,780.0,38.0,10.0,920.0,33.0,53.0,27.0,7.0
Kruidenroomsaus,280.0,4.0,0.0,0.0,2.0,27.0,0.0,0.0
Kruidensteeltjeszout,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kruidenvinaigrette,95.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0
Kruidige Indiase curry met zacht gegaarde kiphaasjes,825.0,83.0,0.0,265.0,41.0,35.0,23.0,8.0
Kruidige avocadodip met snoepgroenten,135.0,7.0,0.0,80.0,2.0,10.0,1.0,5.0
Kruidige bloemkoolbites uit de oven met pittige mangodip,80.0,6.0,0.0,80.0,3.0,5.0,1.0,2.0
Kruidige citroenaardappelen uit de oven,320.0,39.0,0.0,1975.0,4.0,16.0,2.0,5.0
Kruidige couscous met balletjes,805.0,83.0,0.0,1245.0,32.0,36.0,5.0,12.0
"Kruidige curry met kip, zoete aardappel en boontjes",775.0,83.0,0.0,130.0,32.0,33.0,18.0,10.0
Kruidige geroosterde pompoen,105.0,5.0,0.0,100.0,2.0,8.0,1.0,2.0
Kruidige groente met couscous en feta,665.0,75.0,22.0,400.0,21.0,29.0,7.0,10.0
Kruidige havermout met zoete venkel en bospeen,460.0,61.0,0.0,480.0,15.0,15.0,3.0,9.0
Kruidige kipcurry,665.0,68.0,0.0,0.0,25.0,32.0,0.0,0.0
Kruidige kipreepjes en hutspot met een pittige touch,710.0,56.0,0.0,720.0,33.0,37.0,15.0,10.0
Kruidige kiptajine met couscous,465.0,61.0,0.0,175.0,29.0,10.0,7.0,7.0
Kruidige polentapunten,305.0,24.0,0.0,760.0,8.0,19.0,11.0,3.0
Kruidige pompoensoep,215.0,23.0,0.0,0.0,5.0,12.0,0.0,0.0
Kruidige rodekool met sinaasappel,120.0,10.0,0.0,15.0,3.0,6.0,1.0,7.0
Kruidige schelvis uit de oven,290.0,40.0,0.0,65.0,22.0,3.0,1.0,5.0
Kruidige spelt met mediterane ratatouille ,525.0,69.0,0.0,0.0,16.0,18.0,3.0,12.0
Kruidige tempehstoof met knoflookboontjes &amp; rijst,900.0,98.0,14.0,1240.0,33.0,37.0,6.0,22.0
Kruidige zalmfilet uit de oven,280.0,2.0,0.0,55.0,26.0,19.0,3.0,0.0
Kruidige zuurkoolstamppot,210.0,27.0,0.0,360.0,5.0,8.0,3.0,3.0
Kruidkoekjes,115.0,16.0,8.0,40.0,1.0,5.0,4.0,0.0
Kruidnoten + 3 kruidnoten variaties,295.0,38.0,16.0,280.0,4.0,14.0,7.0,1.0
Kruidnoten in marsepein,265.0,43.0,34.0,120.0,3.0,9.0,4.0,1.0
Kruidnoten met choco-discodip,260.0,34.0,22.0,200.0,3.0,12.0,7.0,1.0
Kruidnoten met chocodips,335.0,35.0,23.0,160.0,5.0,18.0,10.0,6.0
Kruidnoten met chocolade en discodip,315.0,34.0,25.0,120.0,4.0,18.0,12.0,1.0
Kruidnoten met specerijen,230.0,35.0,0.0,185.0,3.0,9.0,5.0,1.0
Kruidnoten met stroop,240.0,38.0,0.0,220.0,3.0,8.0,5.0,1.0
Kruidnotenijsberg,620.0,92.0,0.0,360.0,7.0,24.0,14.0,4.0
Kruimeldeeg,390.0,46.0,0.0,171.0,5.0,21.0,13.0,0.0
Kruimelvlaai,250.0,23.0,0.0,0.0,4.0,16.0,0.0,0.0
Kurkuma latte (golden milk),70.0,6.0,0.0,120.0,1.0,4.0,2.0,1.0
Kurkuma-havermout,555.0,72.0,0.0,120.0,11.0,23.0,7.0,11.0
Kurkumadressing,160.0,23.0,0.0,240.0,12.0,2.0,0.0,1.0
Kurkumapannenkoek met appel ,220.0,32.0,0.0,80.0,7.0,6.0,1.0,4.0
"Kurkumarijstbowl met boerenkool, avocado &amp; ei",765.0,54.0,6.0,200.0,21.0,49.0,21.0,11.0
"Kwarkbol met appel, noten en zuidvruchten",260.0,41.0,0.0,280.0,7.0,7.0,2.0,0.0
Kwarktaart-hart met aardbeien,390.0,42.0,0.0,120.0,8.0,21.0,14.0,1.0
Köfte met yoghurtsaus en verse kruiden,620.0,7.0,0.0,200.0,33.0,51.0,15.0,2.0
Laab,210.0,9.0,0.0,480.0,21.0,9.0,3.0,4.0
Laagjesontbijt met Hüttenkäse en granola,475.0,62.0,0.0,15.0,28.0,11.0,5.0,6.0
Laagjestaart met rood fruit,960.0,76.0,0.0,180.0,17.0,64.0,33.0,6.0
Labneh,180.0,5.0,0.0,1.0,6.0,15.0,4.0,1.0
Labneh met gebakken pitapuntjes en snoepgroenten,470.0,29.0,0.0,200.0,13.0,32.0,7.0,7.0
Lactosevrije chocoladecake ,310.0,35.0,0.0,150.0,4.0,17.0,2.0,2.0
Lamshaas met gevulde auberginerolletjes ,675.0,55.0,0.0,150.0,35.0,34.0,7.0,7.0
Lamskotelet bakken,325.0,0.0,0.0,280.0,21.0,27.0,13.0,0.0
Lamskoteletjes met geroosterde groenten en salsa verde,590.0,38.0,0.0,200.0,16.0,40.0,8.0,8.0
Lamskoteletjes met groene salsa,255.0,2.0,0.0,465.0,11.0,22.0,6.0,1.0
Lamskoteletjes met pittige salsa,625.0,39.0,0.0,105.0,30.0,37.0,16.0,6.0
Lamskoteletjes met ras el hanout,675.0,55.0,0.0,85.0,33.0,34.0,12.0,7.0
Lamskoteletten &amp; haricotsvertssalade,520.0,7.0,0.0,145.0,24.0,43.0,12.0,4.0
Lamskoteletten met dressing,430.0,17.0,14.0,1120.0,33.0,25.0,8.0,3.0
Lamskoteletten met lentechimichurri,390.0,1.0,0.0,60.0,20.0,34.0,11.0,1.0
Lamsrack met amandel-peterseliekorst,700.0,46.0,0.0,285.0,35.0,43.0,13.0,7.0
Lamsrack met rozemarijn,705.0,59.0,0.0,185.0,35.0,36.0,13.0,3.0
Lamsworstjes met rauwkostsalade,725.0,101.0,0.0,0.0,26.0,19.0,0.0,0.0
Lamsworstjes met salsa verde en groene couscous,725.0,48.0,0.0,600.0,23.0,48.0,11.0,5.0
Lasagne,990.0,78.0,0.0,1060.0,53.0,50.0,26.0,8.0
Lasagne al salmone van Mario Uva,925.0,58.0,0.0,680.0,45.0,56.0,23.0,3.0
Lasagne bolognese met bechamelsaus,755.0,47.0,15.0,800.0,41.0,43.0,21.0,7.0
Lasagne in a jar,885.0,68.0,0.0,2050.0,42.0,48.0,22.0,6.0
Lasagne met 4 groenten,450.0,36.0,0.0,0.0,17.0,24.0,0.0,0.0
"Lasagne met champignons, tomaat en mozzarella",630.0,60.0,12.0,320.0,27.0,29.0,11.0,9.0
"Lasagne met geitenkaas, ricotta &amp; courgette",535.0,55.0,0.0,520.0,22.0,24.0,13.0,6.0
Lasagne met gruyere en bechamelsaus,1060.0,69.0,0.0,1200.0,54.0,61.0,29.0,9.0
"Lasagne met kastanjechampignons, cavolo nero en gormas",690.0,60.0,11.0,360.0,24.0,38.0,22.0,6.0
"Lasagne met kip, spinazie en courgette",750.0,66.0,0.0,640.0,38.0,36.0,18.0,5.0
Lasagne met paddenstoelen,607.0,49.0,0.0,933.0,27.0,32.0,16.0,8.0
Lasagne met pompoen en appel,770.0,68.0,0.0,4222.0,26.0,42.0,15.0,8.0
Lasagne met ratatouille,645.0,52.0,0.0,720.0,23.0,38.0,16.0,5.0
Lasagne met roomsaus,1345.0,102.0,0.0,0.0,45.0,83.0,0.0,0.0
Lasagne met tonijn,565.0,52.0,0.0,910.0,33.0,24.0,7.0,8.0
Lasagne met wintergroenten,565.0,59.0,0.0,1040.0,22.0,24.0,14.0,13.0
Lasagne met zomergroenten,600.0,58.0,0.0,0.0,33.0,24.0,0.0,0.0
"Lasagne van biet, pompoen en geitenkaas ",485.0,54.0,0.0,635.0,21.0,19.0,10.0,8.0
Lasagne van knolselderijbladen met gehakt en olijven,635.0,41.0,18.0,600.0,34.0,34.0,14.0,14.0
"Lasagne van pompoen met rode biet, mascarpone &amp; geitenkaas",600.0,45.0,0.0,360.0,21.0,36.0,24.0,7.0
Lasagnesalade,740.0,53.0,0.0,0.0,29.0,46.0,0.0,0.0
Lasagnette met aubergine-tomatensaus &amp; ricotta,640.0,82.0,18.0,760.0,22.0,22.0,8.0,9.0
Latkes met kruiden-crème fraîche en gerookte zalm,145.0,9.0,1.0,160.0,4.0,10.0,3.0,1.0
Lauwwarme aardappelsalade met tonijn en ei,530.0,48.0,4.0,400.0,27.0,24.0,5.0,7.0
Lauwwarme aspergesalade met gegrilde citroenkip,415.0,5.0,2.0,320.0,32.0,29.0,9.0,2.0
Lauwwarme bonensalade,430.0,23.0,0.0,565.0,17.0,27.0,6.0,14.0
Lauwwarme couscous met groenten en kruidenricotta,700.0,63.0,0.0,80.0,23.0,36.0,8.0,16.0
Lauwwarme noedelsalade met Japanse kip,620.0,59.0,0.0,1000.0,32.0,27.0,5.0,6.0
Lauwwarme pompoen- en courgettespaghetti,430.0,16.0,0.0,280.0,19.0,31.0,13.0,4.0
Lauwwarme posteleinsalade,530.0,52.0,0.0,680.0,15.0,27.0,4.0,10.0
Lauwwarme quinoa-bonensalade,735.0,67.0,0.0,760.0,40.0,27.0,3.0,26.0
"Lauwwarme rijstsalade met tonijn, paprika en munt",660.0,59.0,0.0,490.0,35.0,30.0,5.0,7.0
Lauwwarme salade met gebakken radijs,250.0,6.0,5.0,40.0,4.0,18.0,5.0,2.0
Lauwwarme salade van gegrilde zoete aardappel,380.0,83.0,0.0,160.0,5.0,1.0,0.0,10.0
"Lauwwarme soba noedels met sugarsnaps, paprika &amp; zalm",485.0,57.0,9.0,1360.0,29.0,14.0,3.0,7.0
"Lauwwarme volkorennoedels, paksoi en edamame",485.0,39.0,7.0,320.0,32.0,19.0,3.0,13.0
Lauwwarme winterse wittebonensalade met falafel,645.0,55.0,0.0,1040.0,24.0,32.0,5.0,22.0
Lavacakejes met marshmallows,445.0,48.0,33.0,40.0,8.0,24.0,13.0,2.0
La­sag­ne met pom­poen en ri­cot­ta,530.0,65.0,0.0,0.0,20.0,21.0,0.0,0.0
Lebkuchenharten,330.0,52.0,0.0,160.0,7.0,9.0,1.0,5.0
Lekkerbekje met aardappel en groente uit de oven,715.0,71.0,4.0,800.0,27.0,34.0,5.0,9.0
Lekkerbekje met broccolipesto,625.0,55.0,0.0,435.0,26.0,32.0,4.0,7.0
Lemon curd taartje met sinaasappel en blauwe bessen,310.0,32.0,19.0,80.0,5.0,18.0,11.0,1.0
Lemon spritzer,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lente-erwtensoep met dille en munt ,245.0,31.0,2.0,1480.0,12.0,6.0,3.0,10.0
Lente-preisoep,170.0,12.0,0.0,520.0,10.0,9.0,3.0,1.0
Lentecouscous met geitenkaas,775.0,106.0,0.0,0.0,22.0,25.0,0.0,0.0
Lentegroenten met geitenkaas-honingraatdip,135.0,5.0,0.0,195.0,6.0,10.0,7.0,1.0
Lenteminestrone,410.0,39.0,0.0,0.0,18.0,18.0,0.0,0.0
Lentepasta met gerookte kip,515.0,63.0,0.0,480.0,26.0,16.0,7.0,7.0
Lentepastei,525.0,34.0,0.0,1405.0,28.0,29.0,15.0,8.0
"Lentequiche met asperges, broccoli en garnalen",690.0,32.0,0.0,840.0,35.0,45.0,27.0,5.0
Lentequiche met groene- &amp; witte asperges,825.0,44.0,0.0,595.0,28.0,58.0,35.0,6.0
Lentequiches met pecorino en ham,800.0,44.0,0.0,0.0,35.0,53.0,0.0,0.0
"Lentestamp met ijsbergsla, paprika en tofugehakt",420.0,51.0,0.0,200.0,16.0,15.0,8.0,8.0
Lentestamp van spinazie en gerookte kip,300.0,49.0,0.0,185.0,18.0,1.0,0.0,11.0
"Lentestamppot van zoete aardappel, tuinerwten en tartaar",625.0,71.0,14.0,400.0,35.0,18.0,6.0,16.0
Lentestamppotje met erwtjes en ham,405.0,42.0,0.0,1020.0,23.0,14.0,7.0,9.0
Letterkoekjes met ombre glazuur,40.0,5.0,4.0,0.0,1.0,2.0,1.0,0.0
Lettersandwichkoekjes met jam,230.0,27.0,0.0,80.0,3.0,12.0,8.0,1.0
Letterspeculaaskoekjes ,30.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0
Lettertraktatie van meloen,35.0,7.0,0.0,40.0,1.0,0.0,0.0,1.0
Letterzandkoekjes met discodip,30.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0
Libanese kefta,565.0,42.0,4.0,280.0,33.0,28.0,10.0,6.0
Lichte citroentaart,190.0,22.0,0.0,0.0,5.0,8.0,0.0,0.0
Lichte pompoensoep,55.0,4.0,0.0,605.0,2.0,3.0,1.0,2.0
Lichtpittige groene curry met gehakt ,655.0,62.0,0.0,120.0,24.0,33.0,21.0,7.0
Lieveheersbeestjes,35.0,1.0,0.0,40.0,2.0,3.0,2.0,0.0
Lillet-cocktail met vlierbloesemsiroop,70.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Limburgs zuurvlees,505.0,31.0,0.0,180.0,40.0,24.0,12.0,3.0
Limburgs zuurvlees met ontbijtkoek,520.0,41.0,29.0,200.0,32.0,25.0,13.0,3.0
Limburgse vlaai van de Bisschopsmolen,225.0,39.0,0.0,80.0,5.0,5.0,3.0,1.0
Lime meringue pie,400.0,52.0,0.0,0.0,7.0,18.0,0.0,0.0
Limoen- en granaatappelgranita,225.0,36.0,0.0,10.0,1.0,0.0,0.0,2.0
Limoen-muntlimonade met bramen,65.0,12.0,10.0,0.0,1.0,1.0,0.0,3.0
Limoen-muntlimonade met komkommer ,35.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0
Limoen-sesam-gembervinaigrette,110.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0
Limoenpannenkoekjes met frambozen,425.0,53.0,0.0,480.0,11.0,18.0,12.0,2.0
Limonade van aardbeien en vlierbloesemsiroop,90.0,21.0,21.0,0.0,1.0,0.0,0.0,1.0
Limonadesiroop van vers fruit,50.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Limoncello,190.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Limoncello spritz,240.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0
Limoncello tiramisu met frambozen,425.0,38.0,0.0,40.0,5.0,26.0,17.0,2.0
Limoncello-panna cotta met cantuccinibodem,645.0,40.0,0.0,1.2,7.0,47.0,30.0,1.0
Limoncellow-tiramisu,670.0,53.0,0.0,120.0,10.0,45.0,26.0,1.0
Lincolnshire hotdog met appel-zuurkoolsalade,795.0,57.0,0.0,1540.0,31.0,47.0,11.0,9.0
"Linguine met chorizo, tomaat en geitenkaas",650.0,63.0,0.0,670.0,24.0,32.0,12.0,6.0
Linguine met ei en pangrattato,640.0,62.0,0.0,600.0,22.0,33.0,7.0,3.0
"Linguine met garnalen, romaatjes &amp; rucola",450.0,60.0,0.0,765.0,23.0,12.0,2.0,6.0
Linguine met kipgehaktballetjes,520.0,65.0,0.0,555.0,24.0,15.0,4.0,5.0
Linguine met prei &amp; ham,485.0,65.0,0.0,630.0,16.0,16.0,5.0,8.0
Linguine met romige pompoen-kaassaus,560.0,58.0,8.0,200.0,21.0,26.0,15.0,5.0
Linguine met zeevruchten,765.0,65.0,0.0,837.0,36.0,38.0,22.0,4.0
Linguine met zongedroogde tomaat,425.0,63.0,0.0,0.0,12.0,12.0,0.0,0.0
Linzen met Amsterdamse ui en worst,300.0,22.0,0.0,1040.0,15.0,16.0,6.0,5.0
Linzen met ovengroenten,720.0,46.0,0.0,0.0,16.0,48.0,0.0,0.0
Linzen-aubergineschotel met abrikoos &amp; kaneel,565.0,59.0,0.0,640.0,17.0,24.0,3.0,23.0
Linzen-makreelsalade met avocado en ei,725.0,34.0,0.0,600.0,33.0,48.0,9.0,11.0
Linzen-quinoabowl met gegrilde zalm en groente,675.0,54.0,0.0,200.0,34.0,33.0,5.0,14.0
Linzen-tomatensoep met pompoen,255.0,19.0,8.0,1120.0,8.0,15.0,7.0,7.0
Linzen-tomatenstoof met bloemkool,415.0,27.0,12.0,880.0,20.0,23.0,7.0,10.0
Linzenbolognese,575.0,77.0,0.0,340.0,25.0,15.0,5.0,11.0
Linzenburger,740.0,68.0,0.0,950.0,30.0,36.0,8.0,12.0
"Linzenpie met prei, puree en geitenkaas",610.0,56.0,0.0,1005.0,22.0,30.0,20.0,12.0
Linzensalade met biet en geitenkaas ,335.0,24.0,8.0,320.0,19.0,16.0,6.0,9.0
Linzensalade met gegrilde groenten,445.0,35.0,0.0,630.0,21.0,22.0,7.0,11.0
Linzensalade met geroosterde paprika &amp; witte kaas,390.0,26.0,9.0,680.0,15.0,23.0,7.0,10.0
"Linzensalade met geroosterde pompoen, rode ui en cottagecheese",355.0,25.0,6.0,160.0,19.0,18.0,4.0,14.0
Linzensalade met kaasblokjes,625.0,32.0,0.0,235.0,21.0,44.0,4.0,9.0
Linzensalade met spinazie en pitakaaspuntjes,775.0,66.0,6.0,960.0,31.0,39.0,10.0,19.0
Linzensalade met tomaat en blauwe bes,310.0,24.0,0.0,360.0,8.0,19.0,3.0,6.0
Linzensalade met witte kaas &amp; granaatappelpitjes,285.0,23.0,8.0,480.0,15.0,13.0,5.0,9.0
Linzenschotel met aardappel en abrikoos,415.0,65.0,0.0,320.0,13.0,9.0,1.0,10.0
"Linzenschotel met spinazie, champignons en worst",485.0,24.0,2.0,880.0,34.0,26.0,9.0,10.0
Linzenschotel met zuurkool &amp; ham,460.0,41.0,0.0,1275.0,24.0,18.0,4.0,20.0
"Linzensoep met bleekselderij, wortel, ui en worst",440.0,38.0,0.0,1660.0,23.0,20.0,5.0,9.0
Linzensoep met korianderpesto ,505.0,54.0,0.0,1605.0,28.0,18.0,3.0,9.0
Linzensoep met pompoen &amp; komijn ,215.0,32.0,0.0,550.0,10.0,3.0,1.0,7.0
Linzensoep met zoete aardappel en tuinkers,385.0,50.0,0.0,480.0,11.0,13.0,5.0,12.0
Linzenspaghetti met paprika &amp; spinazie,550.0,46.0,0.0,200.0,25.0,27.0,9.0,10.0
Linzenstoof met gepocheerde eieren,480.0,54.0,11.0,240.0,30.0,14.0,3.0,8.0
Linzenstoof met yoghurt en geroosterd brood,410.0,39.0,8.0,280.0,21.0,16.0,3.0,12.0
Lisa goes Vegans frisse tofusalade,195.0,7.0,0.0,15.0,17.0,10.0,1.0,6.0
Loempia's,235.0,22.0,0.0,0.0,11.0,12.0,0.0,0.0
Louisiana coleslaw,145.0,8.0,0.0,240.0,2.0,11.0,1.0,3.0
Lovely by Lucy’s garnalensalade,200.0,9.0,0.0,635.0,24.0,6.0,1.0,7.0
Lowcarb sushi,30.0,1.0,0.0,120.0,2.0,2.0,0.0,1.0
Luc Kusters' pompoen met geitenkaas,575.0,18.0,0.0,315.0,13.0,49.0,12.0,5.0
Luchtige aardappelpuree,235.0,39.0,0.0,15.0,5.0,5.0,4.0,4.0
Luikse wafels met slagroom en kersen,585.0,66.0,0.0,280.0,7.0,32.0,19.0,2.0
Lunchbowl met kikkererwten &amp; limoen-yoghurtdressing,435.0,65.0,9.0,160.0,14.0,10.0,2.0,14.0
Lunchsalade met tonijn &amp; parelcouscous,450.0,63.0,0.0,760.0,25.0,10.0,1.0,5.0
"Lunchwrap met aardbeien, avocado en mango",665.0,52.0,0.0,360.0,16.0,42.0,10.0,8.0
"Luxe bagel met roomkaas, biefstuk en paddenstoelen",620.0,55.0,7.0,920.0,31.0,30.0,16.0,4.0
Maaltijd-uienpastei van Nigella Lawson,630.0,57.0,0.0,680.0,21.0,34.0,19.0,6.0
Maaltijdrösti van Chickslovefood,685.0,53.0,0.0,960.0,20.0,42.0,7.0,8.0
"Maaltijdsalade kip, mango en geitenkaas",625.0,70.0,23.0,520.0,27.0,24.0,8.0,11.0
Maaltijdsalade met Turkse balletjes,515.0,34.0,0.0,920.0,23.0,31.0,5.0,3.0
Maaltijdsalade met asperges,500.0,40.0,0.0,360.0,19.0,28.0,10.0,7.0
Maaltijdsalade met avocadomayo,395.0,27.0,0.0,96.0,12.0,24.0,4.0,6.0
Maaltijdsalade met biefstukpuntjes,405.0,42.0,0.0,65.0,27.0,12.0,2.0,8.0
Maaltijdsalade met groene groenten en tonijn,285.0,16.0,0.0,440.0,28.0,10.0,2.0,10.0
Maaltijdsalade met lauwwarme rodekool,495.0,29.0,23.0,400.0,14.0,34.0,9.0,8.0
"Maaltijdsalade met rode biet, asperge, feta en rookvlees",530.0,58.0,0.0,1400.0,30.0,17.0,10.0,12.0
"Maaltijdsalade met spek, haricots verts en gebakken bonen",375.0,28.0,0.0,795.0,26.0,15.0,5.0,16.0
Maaltijdsalade met tonijn &amp; sperziebonen,525.0,57.0,1.0,320.0,29.0,18.0,4.0,11.0
Maaltijdsalade niçoise,565.0,31.0,0.0,680.0,31.0,32.0,5.0,14.0
"Maaltijdsalade van limabonen, tonijn en paprika",375.0,19.0,0.0,400.0,28.0,18.0,3.0,13.0
"Maaltijdsalade van romaine, sperziebonen en garnalen",330.0,7.0,0.0,360.0,19.0,24.0,5.0,5.0
Maaltijdsoep met kip en bonen,295.0,19.0,0.0,1745.0,27.0,9.0,3.0,16.0
Maaltijdsoep met rundvlees en farro,425.0,49.0,0.0,1200.0,26.0,12.0,2.0,10.0
Maaltijdsoep van geroosterde groenten,685.0,58.0,0.0,2005.0,28.0,35.0,13.0,7.0
Maaltijdsoep van zoete aardappelen,505.0,61.0,0.0,1590.0,11.0,23.0,8.0,6.0
Maanzaadbolletjes,175.0,30.0,0.0,165.0,6.0,3.0,1.0,2.0
Mac 'n' cheesemuffins met bloemkool &amp; kip,220.0,18.0,0.0,410.0,12.0,11.0,6.0,1.0
Mac and cheese bitterballen,105.0,10.0,0.0,80.0,3.0,6.0,1.0,0.0
Mac and cheese in een gourmetpannetje,215.0,19.0,2.0,200.0,10.0,11.0,7.0,1.0
Mac and cheese met ham en broccolirijst,560.0,55.0,0.0,1280.0,32.0,21.0,12.0,13.0
Mac en moz al forno,745.0,70.0,0.0,0.0,32.0,36.0,0.0,0.0
Macadamia-chocoladetaart,645.0,47.0,0.0,0.0,10.0,45.0,0.0,0.0
Macaroni al forno,835.0,69.0,0.0,815.0,35.0,45.0,19.0,7.0
Macaroni en ham,745.0,60.0,0.0,855.0,31.0,41.0,23.0,5.0
Macaroni grande met kip en rijkgevulde groentesaus,615.0,68.0,0.0,240.0,37.0,20.0,4.0,8.0
Macaroni lesco,665.0,68.0,0.0,0.0,25.0,32.0,0.0,0.0
