recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Aardappeltjes provençale,320.0,24.0,0.0,0.0,9.0,21.0,0.0,0.0
Aardappeltorentjes met rozemarijn &amp; parmezaan,235.0,34.0,0.0,80.0,7.0,7.0,2.0,5.0
Aardappeltortilla met aioli en salsa,605.0,35.0,6.0,600.0,21.0,41.0,12.0,6.0
Aardappeltortilla met snijbonen,330.0,28.0,0.0,200.0,28.0,10.0,3.0,9.0
Aardbei-banaanijs,85.0,19.0,15.0,0.0,1.0,0.0,0.0,2.0
Aardbei-framboosmocktail,35.0,6.0,6.0,0.0,2.0,0.0,0.0,2.0
Aardbeien gemarineerd in balsamico met ijs en cantuccini,200.0,29.0,0.0,80.0,3.0,7.0,4.0,2.0
Aardbeien met chocoladesaus,415.0,32.0,0.0,0.0,5.0,28.0,0.0,0.0
Aardbeien-cranberryjam,975.0,232.0,0.0,10.0,3.0,0.0,0.0,18.0
Aardbeien-gemberlimonade met citrus,105.0,24.0,0.0,5.0,1.0,0.0,0.0,1.0
Aardbeienbavarois,325.0,24.0,24.0,40.0,3.0,24.0,15.0,1.0
Aardbeiendrankje,70.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0
Aardbeienfeesttaart,395.0,40.0,0.0,80.0,6.0,23.0,15.0,2.0
Aardbeienjam maken,1935.0,477.0,0.0,15.0,4.0,0.0,0.0,6.0
Aardbeienkwark met pan-granola,305.0,20.0,10.0,80.0,19.0,15.0,1.0,7.0
Aardbeienkwarkcake,220.0,29.0,0.0,170.0,4.0,10.0,6.0,1.0
Aardbeiensoepje met sojayoghurtijs ,235.0,21.0,0.0,125.0,9.0,11.0,1.0,5.0
Aardbeientaart,395.0,47.0,0.0,0.0,9.0,18.0,0.0,0.0
Aardbeientaartjes,325.0,47.0,0.0,0.0,5.0,12.0,0.0,0.0
Aardbeientaartjes met mascarpone,860.0,76.0,0.0,455.0,14.0,55.0,33.0,3.0
Aardbeientiramisu met sinaasappel,650.0,41.0,0.0,40.0,7.0,49.0,32.0,1.0
Aardpeersoep met knoflook,175.0,31.0,0.0,985.0,4.0,3.0,1.0,3.0
Aardperenpuree,290.0,53.0,0.0,0.0,8.0,5.0,0.0,0.0
Aardperensoep,330.0,36.0,0.0,0.0,6.0,18.0,0.0,0.0
Aardperenstamp met pruimen,630.0,76.0,0.0,148.0,15.0,28.0,18.0,12.0
Adjaruli khachapuri (Georgische kaas-eibrood) ,1435.0,127.0,8.0,1640.0,65.0,73.0,43.0,5.0
Affogato met zoute kokos-karamelsaus,210.0,26.0,0.0,40.0,2.0,11.0,9.0,0.0
Afghaanse pompoenstoof,270.0,13.0,10.0,400.0,5.0,21.0,6.0,5.0
Agua fresca,140.0,31.0,0.0,205.0,2.0,0.0,0.0,2.0
Agua fresca van watermeloen van Jord Althuizen,100.0,24.0,0.0,80.0,1.0,0.0,0.0,1.0
Aguachile (schelvis in limoen gegaard),315.0,22.0,0.0,405.0,21.0,15.0,4.0,0.0
Aioli maken,180.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0
Airfryer friet,255.0,47.0,3.0,240.0,5.0,4.0,1.0,5.0
Ajam pangang,515.0,16.0,14.0,1400.0,34.0,35.0,13.0,1.0
Alcoholvrije cranberry-mojito,45.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0
Amandel-banaanpannenkoekjes,365.0,28.0,0.0,40.0,11.0,22.0,2.0,5.0
Amandelkoekjes met gorgonzola &amp; vijgen,130.0,12.0,0.0,200.0,4.0,7.0,4.0,1.0
Amandelpannenkoeken met kikkererwtenvulling,820.0,22.0,0.0,1060.0,31.0,64.0,17.0,17.0
Amandelpuddinkjes,460.0,23.0,0.0,0.0,7.0,32.0,0.0,0.0
Amandelster met frambozen,459.0,33.0,0.0,0.0,9.0,35.0,0.0,0.0
American apple pancakes met walnoten &amp; ahornsiroop,565.0,79.0,44.0,920.0,13.0,21.0,7.0,3.0
American burger met coleslaw,965.0,67.0,0.0,1285.0,30.0,61.0,19.0,11.0
American pancakes,305.0,33.0,0.0,0.0,10.0,15.0,0.0,0.0
American pancakes basisrecept,245.0,28.0,0.0,400.0,4.0,13.0,6.0,1.0
"American pancakes met appel, rozijn en honing",400.0,57.0,0.0,255.0,10.0,14.0,8.0,2.0
American pancakes met appelcompote en spek,415.0,40.0,0.0,474.0,11.0,23.0,13.0,2.0
American pancakes met banaan en pindakaas,745.0,76.0,0.0,360.0,24.0,37.0,10.0,6.0
American pancakes met blauwe bessen,330.0,37.0,0.0,0.0,10.0,15.0,0.0,0.0
American pancakes met blauwe bessen en ahornsiroop,320.0,45.0,0.0,360.0,7.0,12.0,7.0,2.0
American pancakes met fruit en noten,560.0,56.0,22.0,440.0,12.0,31.0,15.0,5.0
American pancakes met gezoet spek,410.0,40.0,0.0,0.0,13.0,22.0,0.0,0.0
American style taco's,565.0,33.0,10.0,440.0,34.0,32.0,12.0,5.0
Amerikaanse caesar salad,400.0,24.0,0.0,0.0,13.0,27.0,0.0,0.0
Amerikaanse zoete-aardappeltaart,390.0,46.0,0.0,220.0,5.0,20.0,12.0,2.0
Amuse gerookte zalm blini's met crè­me fraî­che,45.0,3.0,0.0,110.0,2.0,3.0,1.0,0.0
Amuse zalm op een vorkje,65.0,1.0,0.0,210.0,4.0,5.0,1.0,1.0
Ananas-gemberjam,1980.0,480.0,0.0,0.0,2.0,1.0,0.0,0.0
Ananascrumble met kokos en limoen,450.0,57.0,0.0,80.0,5.0,22.0,14.0,3.0
Ananasroedjak,170.0,37.0,0.0,0.0,2.0,1.0,0.0,0.0
Ananassalade met komkommer,175.0,12.0,0.0,0.0,3.0,12.0,0.0,0.0
Andijvie met rauwe ham en prei,175.0,7.0,0.0,475.0,9.0,11.0,2.0,6.0
Andijviemuffins met feta en soepballetjes,185.0,14.0,0.0,200.0,9.0,10.0,5.0,2.0
Andijvierolletjes,250.0,5.0,0.0,0.0,16.0,19.0,0.0,0.0
Andijviesalade,210.0,3.0,0.0,0.0,7.0,18.0,0.0,0.0
Andijviesalade met gorgonzola,450.0,19.0,0.0,0.0,14.0,34.0,0.0,0.0
Andijviesalade met oude kaas,535.0,36.0,0.0,0.0,20.0,34.0,0.0,0.0
Andijviestamppot,485.0,49.0,0.0,1230.0,19.0,22.0,10.0,7.0
Andijviestamppot met Gelderse rookworst,570.0,50.0,0.0,1000.0,21.0,30.0,13.0,7.0
Andijviestamppot met radijs en mosterd-speklapjes,650.0,60.0,6.0,360.0,25.0,33.0,14.0,7.0
Andijviestamppot met tomaatjes en zalm,465.0,47.0,9.0,520.0,22.0,20.0,9.0,4.0
Andijviestamppot met zalm,710.0,53.0,9.0,720.0,40.0,36.0,8.0,8.0
Andijviestamppot met zoete aardappel en kalkoenfilet,435.0,54.0,0.0,120.0,22.0,13.0,2.0,9.0
Andijviestoof,275.0,19.0,0.0,305.0,11.0,16.0,10.0,6.0
Andijvietaart,735.0,35.0,0.0,790.0,26.0,54.0,27.0,5.0
Annics rijke caesarsalade,615.0,44.0,0.0,565.0,35.0,31.0,7.0,10.0
Ansjovisrollade,305.0,1.0,0.0,0.0,34.0,18.0,0.0,0.0
Antonio Carluccio's luchtig mascarponegebak,946.0,87.0,0.0,316.0,13.0,61.0,38.0,1.0
Antonio Carluccio's risotto met voorjaarsgroenten,665.0,88.0,0.0,2205.0,18.0,26.0,17.0,5.0
Antonio Carluccio’s gevulde tomaten uit de oven,185.0,14.0,0.0,635.0,4.0,12.0,2.0,2.0
Antonio Carluccio’s pasta en doperwten,740.0,92.0,0.0,990.0,25.0,29.0,8.0,13.0
Apenbrood,355.0,44.0,0.0,175.0,8.0,16.0,8.0,2.0
Aperol Spritz met grapefruit,130.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Aperol spritz,165.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
Apfelstrudel,365.0,50.0,25.0,40.0,6.0,15.0,8.0,4.0
Appel crumble in een gourmetpannetje,145.0,17.0,10.0,40.0,2.0,7.0,3.0,3.0
Appel-ananassap,105.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0
Appel-bessentaart,520.0,73.0,0.0,0.0,6.0,22.0,0.0,0.0
Appel-bladerdeegtaartjes,250.0,20.0,0.0,0.0,2.0,17.0,0.0,0.0
Appel-boterkoek,348.0,38.0,0.0,204.0,5.0,19.0,12.0,2.0
Appel-chocolatechipcookies,175.0,20.0,0.0,40.0,3.0,9.0,4.0,2.0
Appel-cranberryflappen,310.0,42.0,0.0,270.0,4.0,14.0,6.0,2.0
Appel-griesmeelcake met boerenvanillevla,315.0,38.0,17.0,120.0,6.0,15.0,3.0,2.0
Appel-kaneelcupcakes,240.0,36.0,0.0,0.0,2.0,10.0,0.0,0.0
Appel-komkommer-bleekselderijsap,60.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0
Appel-meloensap,75.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0
Appel-speculaastaart,560.0,76.0,0.0,332.0,7.0,25.0,14.0,3.0
Appel-spruitenstamppot met braadworst ,680.0,62.0,0.0,655.0,29.0,32.0,13.0,13.0
Appelbaklava,390.0,53.0,0.0,85.0,5.0,17.0,8.0,2.0
Appelbeignets,95.0,11.0,6.0,40.0,1.0,5.0,1.0,1.0
Appelcake van amandelmeel &amp; honing,325.0,15.0,0.0,120.0,8.0,25.0,6.0,2.0
Appelcidersaus,155.0,13.0,0.0,250.0,1.0,11.0,7.0,1.0
Appelcompote,150.0,35.0,0.0,4.0,1.0,0.0,0.0,3.0
Appelcroissantjes,105.0,12.0,0.0,90.0,1.0,6.0,2.0,1.0
