,ingredient,group
779,appelcider,3
780,appelciderazijn,3
781,appelcompote met stukjes appel,3
782,appelmoes,3
783,appelmoes 0%,3
784,appels,3
785,appelsap,3
786,appelstroop,3
787,arachide olie,3
788,arachideolie,3
789,arrabbiata pesto,3
790,artisjok,3
791,artisjokhart in blik,4
792,artisjokharten,4
793,aspergebroccoli,4
794,aspergetips,4
795,atjar tjampoer,4
796,aubergine,4
797,aubergines,4
798,augurk,4
799,augurken,4
800,augurkenblokjes,4
801,augurkenblokjes zoetzuur,4
802,augurkenplakjes,4
803,augurkenschijven,4
804,augurkplakjes,4
805,avjar paprikaspread,4
806,avocado,4
807,avocado's,4
808,azijn,4
809,baby romainesla,4
810,babybietjes naturel,4
811,babyboerenkool,4
812,babymaiskolfjes,4
813,babyromainesla,4
814,babyspinazie,4
815,bacon,4
816,baconreepjes,4
817,bagel sesam,4
818,baharat,4
819,baharat kruidenmix,4
820,bakaardappeltjes,4
821,bakbacon,4
822,bakgember,4
823,baking soda,4
824,bakje tuinkers,4
825,bakkersbol volkoren,4
826,bakkersbol wit,4
827,bakkersspeculaas,4
828,bakpoeder,4
829,baksoda,4
830,balsamicoazijn,4
831,balsamicoazijn gerijpt op hout,4
832,balsamicodressing,4
833,balsamicoglazuur,4
834,balsamicovinaigrette,4
835,bamboescheuten,4
836,bamigroentepakket,4
837,banaan,4
838,bananen,4
839,bananenchips,4
840,barbecue minikrieltje,4
841,barbecuekruidenmix,4
842,barbecuesaus,4
843,basilicum,4
844,basilicumolie,4
845,basis pastasaus kappertjes-oregano,4
846,basis voor pastasaus Italiaanse kruiden,4
847,basis voor pastasaus basilicum,4
848,basisbouillon,4
849,basisrecept geroosterde groenten (bayaldi),4
850,basisrecept geroosterde pompoen met boerenkool en walnoten,4
851,basisrecept geroosterde spitskool,4
852,basisrecept kikkererwtencurry,4
853,basisrecept kipfilet in bouillon,4
854,basisrecept kipragout,4
855,basisrecept kruidig gehakt,4
856,basisrecept linzen met wortel en rozemarijn,4
857,basmatirijst,4
858,basterdsuiker,4
859,basterdsuiker lichtbruin,4
860,bebogeen caramel,4
861,beef bavette,4
862,beefburgers,4
863,beefburgers jalapeño,4
864,beenham,4
865,beenhamreepjes,4
866,belegen 30+ kaas,4
867,belegen boerenkaas,4
868,belegen geitenkaas,4
869,belegen kaas,4
870,beschuit,4
871,besciamella sausmix,4
872,bevroren rijpe banaan,4
873,bieflap,4
874,biefstuk,4
875,biefstukken,4
876,biefstukpuntje,4
877,biefstukpuntjes,4
878,bier,4
879,bieslook,4
880,biet julienne,4
881,bieten tortillawrap,4
882,bietenburger,4
883,bietenmix,4
884,bietensap,4
885,bietjes julienne,4
886,bigarreaux,4
887,biologische Kalamata-olijven,4
888,biologische citroen,4
889,biologische courgette,4
890,biologische gekookte rode biet,4
891,biologische gesneden rodekool,4
892,biologische kikkererwten in pot,4
893,biologische kipdijfilet,4
894,biologische passata di pomodoro,4
895,biologische passata di pomodoro fijn gekruid,4
896,biologische quinoa,4
897,biologische ricotta,4
898,biologische rodekool,4
899,biologische rozenbroodjes,4
900,biologische rundersoepballetje,4
901,biologische spekreepjes,4
902,biologische tomatenblokjes in blik,4
903,biologische tuinkers in bakje,4
904,biologische ui,4
905,biologische veldsla,4
906,biologische volkorencouscous,4
907,biologische volkorenfusilli,4
908,biologische waterkers,4
909,bitterkoekjes,4
910,black eyed bonen,4
911,bladerdeeg,4
912,bladerdeeg vers,4
913,bladselderij,4
914,bladspinazie,4
915,blank sesamzaad,4
916,blanke amandelen,4
917,blanke azijn,4
918,blanke garneeramandelen,4
919,blanke marsepein,4
920,blanke rozijnen,4
921,blauwaderkaas,4
922,blauwe bessen,4
923,blauwe kleurstofstift,4
924,bleekselderij,4
925,bleekselderijstick,4
926,blije kip ei,4
927,blikje sardines in olijfolie,4
928,blini,4
929,bloem,4
930,bloem om te bestuiven,4
931,bloem voor pizzadeeg,4
932,bloemenhoning,4
933,bloemkool,4
934,bloemkool &amp; broccoli,4
935,bloemkool- en broccoliroosjes,4
936,bloemkoolpizzabodem,4
937,bloemkoolrijst,4
938,bloemkoolroosjes,4
939,blond bier,4
940,blue stilton 50+ blauwaderkaas,4
941,boekweitmeel,4
942,boemboe ajam paniki,4
943,boemboe bami goreng,4
944,boemboe groene curry,4
945,boemboe nasi goreng,4
946,boemboe rendang,4
947,boemboe rendang vlees,4
948,boemboe rode curry,4
949,boemboe sajoer boontjes,4
950,boeren belegen kaas,4
951,boeren rauwe ham,4
952,boerenbrie,4
953,boerenkaas,4
954,boerenkaasfondue,4
955,boerenkool,4
956,boerenkool deelblokjes (diepvries),4
957,boerenkool gesneden,4
958,boerensoepgroente,4
959,boerenvolkorenbrood sesam,4
960,boerenworst,4
961,bolcourgette,4
962,bolletjes stemgember op siroop,4
963,"bonenmix kapucijners, bruine &amp; witte bonen",4
964,"bonenmix kidney, bruine &amp; witte bonen",4
965,bonenmix met mais in blik,4
966,boomgaardsap appel,4
967,borlottibonen uit blik,4
968,bos peen,4
969,bos radijs,4
970,bosbessen,4
971,bosbessenjam,4
972,bospaddenstoelenbouillon van tablet,4
973,bospaddenstoelenbouillontablet,4
974,bospaddenstoelenfond,4
975,bospaddenstoelentablet,4
976,bospeen,4
977,bospeentje,4
978,bosui,4
979,bosuitje,4
980,bosuitjes,4
981,bosvruchten sorbetijs,4
982,bosvruchtenjam,4
983,bosvruchtensorbetijs,4
984,boter,4
985,boter om in te vetten,4
986,botersla,4
987,boule beurre,4
988,boule beurre brood,4
989,boulognebroodjes,4
990,bourbon whisky,4
991,braadstomen kip Provençaal,4
992,braadworst,4
993,braadworsten,4
994,bramen,4
995,bramenjam,4
996,brandy,4
997,brie,4
998,brioche brood,4
999,broccoli,4
1000,broccolirijst,4
1001,broccoliroosjes,4
1002,brood,4
1003,broodkruim,4
1004,broodmix wit,4
1005,bruin bier,4
1006,bruin casinobrood,4
1007,bruin stokbrood,4
1008,bruinbrood,4
1009,bruine basterdsuiker,4
1010,bruine bol,4
1011,bruine bonen,4
1012,bruine bonen in blik,4
1013,bruine kandijsuiker,4
1014,bruine linzen in blik,4
1015,bruine rum,4
1016,bruine suiker,4
1017,bruisend bronwater,4
1018,bruisend mineraalwater,4
1019,bruisend mineraalwater citroen,4
1020,bruisend mineraalwater munt,4
1021,bruschetta tomaatsalade,4
1022,bruschettatopping gegrilde groenten in pot,4
1023,buffelmozzarella,4
1024,buffelmozzarella mini,4
1025,buiteneieren,4
1026,bulgur,4
1027,burrata,4
1028,burrito seasoning mix,4
1029,cacaonibs,4
1030,cacaopoeder,4
1031,caesardressing,4
1032,cajun kruidenmix,4
1033,cajunkruiden,4
1034,cakemeel,4
1035,cakemix,4
1036,cakerol met aardbeienvulling,4
1037,cambozola blauwaderkaas,4
1038,camembert,4
1039,camembert 45+,4
1040,campagnard brood,4
1041,cannellinibonen,4
1042,cannellinibonen in blik,4
1043,cannellinibonen in pot,4
1044,cannelloni,4
1045,cantaloupemeloen,4
1046,cantharellen,4
1047,cantuccini,4
1048,cantuccini alla mandorla,4
1049,carambola,4
1050,carpaccio,4
1051,cashewnoten,4
1052,casinobrood,4
1053,cassave kroepoek,4
1054,cassavekroepoek,4
1055,cavolo nero - palmkool,5
1056,cayennepeper,5
1057,cervelaatworst,5
1058,champagne,5
1059,champignon gran formaggio burger,5
1060,champignon roerbakmix,5
1061,champignonroerbakmix,5
1062,champignons,5
1063,char siu saus,5
1064,chavroux frais nature 45+,5
1065,chavroux frais nature 45+ kaas,5
1066,cheddar,5
1067,cheddar 48+,5
1068,cheddar aan stuk,5
1069,cheddar kaasplakjes,5
1070,cherry tomaten,5
1071,cherrytomaten,5
1072,cherrytomaten aan de tak,5
1073,cherrytomaten in blik,5
1074,chiazaad,5
1075,chilibonen,5
1076,chilibonen in blik,5
1077,chiliflakes,5
1078,chilimelange,5
1079,chilipeper,5
1080,chilipoeder,5
1081,chilisaus,5
1082,chilivlokken,5
1083,chipolataworstje,5
1084,chipotlepeper in adobosaus in pot,5
1085,chocolade,5
1086,chocolade extra puur,5
1087,chocolade extra puur 72%,5
1088,"chocolade kruidnoten (wit, melk en puur)",5
1089,chocoladeglazuur,5
1090,chocoladepasta puur,5
1091,chocolate chip cookies,5
1092,chorizo,5
1093,chorizo (plakjes),5
1094,chorizo (worst),5
1095,chorizo pamplona,5
1096,chorizoblokje,5
1097,chorizoworst,5
1098,chorizoworst aan een stuk,5
1099,chèvres doux geitenkaas 45+,5
1100,ciabatta,5
1101,ciabatta afbakbrood,5
1102,ciabattina,5
1103,cider,5
1104,citroen,5
1105,citroenen,5
1106,citroengras,5
1107,citroenlimonadesiroop,5
1108,citroenmayonaise,5
1109,citroenrasp,5
1110,citroensap,5
1111,citroensorbetijs,5
1112,coburgerham,5
1113,cocktailgarnalen,5
1114,cocktailsaus,5
1115,cocktailtomaten,5
1116,cocktailworstjes,5
1117,coconut cream,5
1118,cognac,5
1119,cola,5
1120,coleslaw rauwkost,5
1121,conchigliette (pasta),5
1122,cornflakes,5
1123,cottagecheese,5
1124,courgette,5
1125,courgette spaghetti,5
1126,courgettes,5
1127,courgettespaghetti,5
1128,couscous,5
1129,cranberry compote,5
1130,cranberry drink,5
1131,cranberrycompote,5
1132,cranberrysap,5
1133,cranberrysaus,5
1134,crema all' aceto balsamico di Modena balsamicosiroop,5
1135,crema di balsamico,5
1136,cremaceto balsamico,5
1137,cremaceto classico,5
1138,"cremaceto classico, 55% balsam",5
1139,crispy mais,5
1140,croissantdeeg,5
1141,crushed ice,5
1142,crème de cassis likeur,5
1143,crème fraîche,5
1144,crème fraîche light,5
1145,cuisine soja op te kloppen,5
1146,curry kruiden ketchup,5
1147,curry madras,5
1148,curry madras specerijenmelange,5
1149,currysaus,5
1150,custard,5
1151,custardpoeder,5
1152,côte de boeuf,5
1153,côte de boeuf van de vakslager,5
1154,dadelblokjes,5
1155,dadels,5
1156,dadels zonder pit,5
1157,dadelstroop,5
1158,decoratiestift choco,5
1159,deeg voor hartige taart,5
1160,diced chipotle pepper,5
1161,dieet halvarine,5
1162,diepvries Italiaans pizzadeeg met olijfolie,5
1163,diepvries Italiaanse roerbakgroente,5
1164,diepvries Taste of the World shortribs,5
1165,diepvries aardappelschijfjes,5
1166,diepvries aardbeien,5
1167,diepvries bladerdeeg,5
1168,diepvries bladspinazie,5
1169,diepvries bladspinazie à la crème,5
1170,diepvries blauwe bes en framboos,5
1171,diepvries blauwe bessen,5
1172,diepvries bloemkoolroosjes,5
1173,diepvries boerenkool,5
1174,diepvries bosbes,5
1175,diepvries braam,5
1176,diepvries broccoliroosjes,5
1177,diepvries cocktailgarnaal,5
1178,diepvries cranberry's,5
1179,diepvries deeg voor hartige taart,5
1180,diepvries dille,5
1181,diepvries doosjevol ananasstukjes,5
1182,diepvries doosjevol bessen en bramen,5
1183,diepvries doosjevol blauwe bes-framboos,5
1184,diepvries doosjevol bramen,5
1185,diepvries doosjevol frambozen,5
1186,diepvries doosjevol mangostukjes,5
1187,diepvries doosjevol perzikstukjes,5
1188,diepvries doosjevol zomerfruit,5
1189,diepvries edamame boon,5
1190,diepvries fijne soepgroente,5
1191,diepvries fijne tuinbonen,5
1192,diepvries fijne tuinerwten,5
1193,diepvries fijngesneden spinazie,5
1194,diepvries filodeeg,5
1195,diepvries framboos,5
1196,diepvries gebroken sperzieboon,5
1197,diepvries gegrilde groenten,5
1198,diepvries gekookte en gepelde garnalen,5
1199,diepvries gemengde zeevruchten,5
1200,diepvries gesneden bladspinazie,5
1201,diepvries groene asperges,5
1202,diepvries kabeljauw,5
1203,diepvries kabeljauwfilet,5
1204,diepvries kaffir limoenblad,5
1205,diepvries kers,5
1206,diepvries kersen,5
1207,diepvries koolvisfilet,5
1208,diepvries lamsbout zonder been van de vakslager,5
1209,diepvries lamshaas van de meesterslager,5
1210,diepvries lekkerbekje,5
1211,diepvries loempiavellen,5
1212,diepvries mango stukjes,5
1213,diepvries mantelschelpen,5
1214,diepvries oosterse wokgroenten,5
1215,diepvries ovenfriet,5
1216,diepvries pangasiusfilet,5
1217,diepvries passievruchtblokje,5
1218,diepvries pijlinktvistubes,5
1219,diepvries pompoen,5
1220,diepvries pompoenblokje,5
1221,diepvries rauwe en ongepelde reuzengarnalen,5
1222,diepvries rauwe gepelde garnalen,5
1223,diepvries rauwe gepelde roze garnalen,5
1224,diepvries rauwe ongepelde reuzengarnaal,5
1225,diepvries rauwe ongepelde zoutwaternalen,5
1226,diepvries reuzengarnaal,5
1227,diepvries rodekool met appel,5
1228,diepvries roomboterbladerdeeg,5
1229,diepvries snijbonen,5
1230,diepvries sperziebonen,5
1231,diepvries spinazie,5
1232,diepvries spinazie à la crème,5
1233,diepvries sugarsnaps,5
1234,diepvries tuinbonen,5
1235,diepvries tuinerwten,5
1236,diepvries tuinerwtjes extra fijn,5
1237,diepvries wilde zalm,5
1238,diepvries wilde zalmfilet,5
1239,diepvries wontonvellen,5
1240,diepvries zachte avocadostukjes,5
1241,diepvries zeevruchten,5
1242,diepvries zomerfruit,5
1243,diepvries zoutwatergarnalen,5
1244,digestive koekjes,5
1245,dijonmosterd,5
1246,dijonnaise,5
1247,dikke balsamicoazijn,5
1248,diksap appel,5
1249,dille,5
1250,dille-mieriksworteldressing*,5
1251,discodip,5
1252,donkerbruine basterdsuiker,5
1253,donkere basterdsuiker,5
1254,doperwten,5
1255,doperwten in pot,5
1256,"doperwten, linzen en maismix in zak",5
1257,"dr.Oetker kleurstoffen (blauw, geel en rood)",5
1258,dragon,5
1259,dragonazijn,5
1260,dressing balsamico,5
1261,dressing mango/gember,5
1262,driekleurenquinoa,5
1263,droge gist,5
1264,droge sherry,5
1265,droge witte wijn,5
1266,dunne prei,5
1267,duopak aardappelschijfjes,5
1268,edamame in de peul,5
1269,edelgistvlokken,5
1270,eendenborst,5
1271,eendenborstfilet,5
1272,eendenhaasje,5
1273,eetrijpe avocado,5
1274,eetrijpe mango,5
1275,eetrijpe peer,5
1276,egg noodles,5
1277,ei,5
1278,eidooier,5
1279,eieren,5
1280,eiermie,5
1281,eiernoedels,5
1282,eikenbladslamelange,5
1283,eiwit,5
1284,elitehaver de luxe,5
1285,elstar-appel,5
1286,emmentaler,5
1287,entrecote,5
1288,espresso,5
1289,espresso-oploskoffie,5
1290,espressopoeder,5
1291,espressostick,5
1292,extra belegen kaas,5
1293,extra fijne tuinerwten,5
1294,extra mager rundergehakt,5
1295,extra milde yoghurt,5
1296,extra pure chocolade,5
1297,extra pure chocolade (72%),5
1298,extra pure chocolade 70%,5
1299,extra pure chocolade 72%,5
1300,extra pure chocolade 85%,5
1301,extra vergine olijfolie,5
1302,extra vierge olijfolie,5
1303,fajita seasoning mix,5
1304,falafel,5
1305,falafelballetjes,5
1306,farfalle,5
1307,farro,5
1308,farro pasta,5
1309,fazantdijen,5
1310,feestfavoriet lamsrack,5
1311,feta,5
1312,feta 43+,5
1313,feta 48+,5
1314,feta 50+,5
1315,fijn zeezout,5
1316,fijne Italiaanse roerbakgroente,5
1317,fijne diepvries tuinerwten,5
1318,fijne havermout,5
1319,fijne kristalsuiker,6
1320,fijne mienestjes,6
1321,fijne mosterd,6
1322,fijne soepgroente,6
1323,fijne tuinbonen,6
1324,fijne tuinboontjes,6
1325,fijne winterpeen,6
1326,fijngesneden andijvie,6
1327,fijngesneden hutspotgroenten,6
1328,fijngesneden ijsbergsla,6
1329,fijngesneden prei,6
1330,fijngesneden tomaten knoflook-ui in blik,6
1331,filetlapjes,6
1332,filetlapjes a la minute,6
1333,filetlapjes à la minute,6
1334,filodeeg,6
1335,five spice woksaus,6
1336,flageolets,6
1337,flatbread,6
1338,flespompoen,6
1339,fleur de sel zout,6
1340,flinterdun gesneden rauwe ham,6
1341,flinterdun gesneden salami,6
1342,flinterdunne gegrilde beenham,6
1343,flinterdunne kipfilet,6
1344,foccaciacroutons,6
1345,fondantchocolade,6
1346,fourme d'ambert,6
1347,frambozen,6
1348,frambozenazijn,6
1349,frambozenconfiture,6
1350,frambozenjam,6
1351,frietaardappelen,6
1352,frisdrank tonic,6
1353,frisse komkommermix rauwkost,6
1354,frisse yoghurtdressing,6
1355,friszoete appel,6
1356,friszoete appels,6
1357,friszure appel,6
1358,friszure appels,6
1359,frituurolie,6
1360,frituurvet,6
1361,fruitpunchpakket,6
1362,fruitspread aardbei,6
1363,fruitspread abrikoos,6
1364,fruitspread bosvruchten,6
1365,fudge caramel,6
1366,funghi porcini gedroogde bospaddestoelen,6
1367,funghi porcini secchi (gedroogd eekhoorntjesbrood),6
1368,fusilli,6
1369,galanga (laos),6
1370,galette wafels,6
1371,galiameloen,6
1372,garam masala,6
1373,garnalen,6
1374,garnalenpasta in potje,6
1375,garneeramandelen,6
1376,gazpacho,6
1377,gebakken kibbeling,6
1378,gebakken uitjes,6
1379,gebraden beenham,6
1380,gebraden fricandeau,6
1381,gebraden kipfilet,6
1382,gebroken lijnzaad,6
1383,gebroken rozemarijn,6
1384,gebroken sperziebonen,6
1385,gecondenseerde melk in blik,6
1386,gecondenseerde volle melk,6
1387,gecondenseerde volle melk met suiker,6
1388,gedroogd bonenkruid,6
1389,gedroogd fenegriekblad,6
1390,gedroogd laurierblaadje,6
1391,gedroogd selderijblad,6
1392,gedroogd zeewier,6
1393,gedroogde Italiaanse kruiden,6
1394,gedroogde Provençaalse kruiden,6
1395,gedroogde abrikozen,6
1396,gedroogde abrikozen zonder pit,6
1397,gedroogde basilicum,6
1398,gedroogde bieslook,6
1399,gedroogde bruine bonen,6
1400,gedroogde chilipeper,6
1401,gedroogde cranberry's,6
1402,gedroogde dille,6
1403,gedroogde donkergroene linzen,6
1404,gedroogde dragon,6
1405,gedroogde gewelde abrikozen,6
1406,gedroogde gist,6
1407,gedroogde kikkererwten,6
1408,gedroogde laurierblaadjes,6
1409,gedroogde limoenblaadjes,6
1410,gedroogde linzen dupuis,6
1411,gedroogde majoraan,6
1412,gedroogde munt,6
1413,gedroogde nootmuskaat,6
1414,gedroogde oregano,6
1415,gedroogde paddenstoel,6
1416,gedroogde pruimen,6
1417,gedroogde pruimen zonder pit,6
1418,gedroogde puy linzen,6
1419,gedroogde rode linzen,6
1420,gedroogde rode splitlinzen,6
1421,gedroogde rozemarijn,6
1422,gedroogde salie,6
1423,gedroogde tijm,6
1424,gedroogde tomaten,6
1425,gedroogde vijgen,6
1426,gegrilde artisjok in olie,6
1427,gegrilde aubergine,6
1428,gegrilde beenham,6
1429,gegrilde courgette,6
1430,gegrilde groenten,6
1431,gegrilde groenten (diepvries),6
1432,gegrilde paprika,6
1433,gegrilde paprika's,6
1434,gegrilde paprika's in pot,6
1435,gegrilde rode paprika,6
1436,gegrilde rode paprika's in pot,6
1437,gegrilde rode paprikareepjes in pot,6
1438,gegrilde yorkham,6
1439,gegrilde-paprikamix,6
1440,gegrilde-yorkhamreepjes,6
1441,gehakt,6
1442,gehaktballetjes,6
1443,gehakte gember,6
1444,geitenkaas,6
1445,geitenkaas 45+,6
1446,geitenkaas 50+,6
1447,geitenkaas 55+,6
1448,geitenkaas belegen 50+,6
1449,geitenkaas blanc 50+,6
1450,geitenkaas jong belegen 50+,6
1451,geitenkaas naturel,6
1452,geitenkaas naturel 45+,6
1453,geitenkaas naturel 55+,6
1454,geitenkaas naturel in plakjes,6
1455,geitenkaas schijfjes,6
1456,geitenmelk,6
1457,geitenyoghurt,6
1458,gekonfijte eendenbout in blik,6
1459,gekookte achterham,6
1460,gekookte biet,6
1461,gekookte bieten,6
1462,gekookte bietjes,6
1463,gekookte en gepelde garnalen,6
1464,gekookte ham,6
1465,gekookte hamreepjes,6
1466,gekookte kipreepjes,6
1467,gekookte mini rode biet,6
1468,gekookte rode biet,6
1469,gekookte wijnzuurkool,6
1470,gekruid kipgehakt,6
1471,gekruide bakaardappeltjes,6
1472,gekruide runderchipolata,6
1473,gekruide rösti,6
1474,gelatine,6
1475,gele biet,6
1476,gele cherrytomaten,6
1477,gele kleurstof,6
1478,gele linzen spaghetti,6
1479,gele marsepein,6
1480,gele paprika,6
1481,gele paprika's,6
1482,gele rijst,6
1483,gele ui,6
1484,geleisuiker,6
1485,geleisuiker speciaal,6
1486,gemalen,6
1487,gemalen amandelen,6
1488,gemalen anijszaad,6
1489,gemalen cayennepeper,6
1490,gemalen chilipeper,6
1491,gemalen foelie,6
1492,gemalen geelwortel (kurkuma),6
1493,gemalen gember,6
1494,gemalen kaneel,6
1495,gemalen kardemom,6
1496,gemalen koffie,6
1497,gemalen kokos,6
1498,gemalen komijn,6
1499,gemalen komijn (djinten),6
1500,gemalen komijnzaad,6
1501,gemalen komijnzaad (djinten),6
1502,gemalen koriander,6
1503,gemalen koriander (ketoembar),6
1504,gemalen koriander*,6
1505,gemalen korianderzaad,6
1506,gemalen kruidnagel,6
1507,gemalen kurkuma,6
1508,gemalen kurkuma (koenjit),6
1509,gemalen laos,6
1510,gemalen laurier,6
1511,gemalen nootmuskaat,6
1512,gemalen oude kaas,6
1513,gemalen piment,6
1514,gemalen selderiezout,6
1515,gemalen venkel,6
1516,gemalen venkelzaad,6
1517,gemalen witte peper,6
1518,gemarineerd Thaise kipfiletblokje,6
1519,gemarineerde artisjok in pot,6
1520,gemarineerde artisjok in water,6
1521,gemarineerde artisjokharten,6
1522,gember,6
1523,gemberbier,6
1524,gemberpoeder,6
1525,gemberpoeder (djahé),6
1526,gembersiroop,6
1527,gemengde jonge bladsla met spinazie,6
1528,gemengde notenpasta,6
1529,gemengde olijven,6
1530,gemengde paddenstoelen,6
1531,gemengde rode vruchten,6
1532,gemengde sla,6
1533,gepaneerde schnitzels,6
1534,gepaneerde zalmburger,6
1535,gepelde (ongezouten) pistachenootjes,6
1536,gepelde diepvries garnalen,6
1537,gepelde ongezouten pistachenoten,6
1538,gepelde pistachenoten,6
1539,gepelde tomaten,6
1540,gepelde tomaten in blik,6
1541,gepelde tomaten in tomatensaus in blik,6
1542,geraspte 30+ kaas,6
1543,geraspte Cheddar Tophat 48+,6
1544,geraspte Franse gruyère kaas 47+,6
1545,geraspte Goudse belegen 30+ kaas,6
1546,geraspte Goudse belegen kaas 48+,6
1547,geraspte Goudse jonge kaas,6
1548,geraspte Goudse oude kaas 48+,6
1549,geraspte Parmezaanse kaas,6
1550,geraspte belegen 30+ kaas,6
1551,geraspte belegen 48+ kaas,6
1552,geraspte belegen geitenkaas,6
1553,geraspte belegen geitenkaas 50+,6
1554,geraspte belegen kaas,6
1555,geraspte belegen kaas 30+,6
1556,geraspte belegen kaas 48+,6
1557,geraspte bieten,6
1558,geraspte bietjes,6
1559,geraspte cheddar,6
1560,geraspte emmentaler,6
1561,geraspte emmentaler 45+,6
1562,geraspte geitenkaas,6
1563,geraspte gruyère,6
1564,geraspte jong belegen 30+ kaas,6
1565,geraspte jong belegen kaas,6
1566,geraspte jonge kaas,6
1567,geraspte kaas,6
1568,geraspte kaas 30+,6
1569,geraspte kaas pittig 45+,6
1570,geraspte kaas tex-mex,6
1571,geraspte kaas voor groentegratin,6
1572,geraspte kaas voor ovengratin,6
1573,geraspte kaas voor pasta,6
1574,geraspte kaas voor pizza,6
1575,geraspte kokos,6
1576,geraspte mierikswortel in pot,6
1577,geraspte milde kaas 45+,6
1578,geraspte mozzarella,6
1579,geraspte nootmuskaat,6
1580,geraspte oude Goudse kaas 48+,6
1581,geraspte oude kaas,6
1582,geraspte oude kaas 48+,7
1583,geraspte rode biet,7
1584,gerookt ontbijtspek,7
1585,gerookt paprikapoeder,7
1586,gerookte achterham,7
1587,gerookte amandelen,7
1588,gerookte boerenachterham,7
1589,gerookte eendenborstfilet,7
1590,gerookte forelfilet,7
1591,gerookte kipfilet,7
1592,gerookte kipfiletplakjes,7
1593,gerookte kipfiletreepjes,7
1594,gerookte kipreepjes,7
1595,gerookte makreel,7
1596,gerookte makreelfilet,7
1597,gerookte makreelfilets in zonnebloemolie,7
1598,gerookte paprikapoeder,7
1599,gerookte scharrelkipfilet,7
1600,gerookte schouderham,7
1601,gerookte spekblokjes,7
1602,gerookte spekreepjes,7
1603,gerookte zalm,7
1604,gerookte zalmblokjes,7
1605,gerookte zalmfilet,7
1606,gerookte zalmsnippers,7
1607,gerookte-paprikapoeder,7
1608,gerookte-paprikapoeder hot,7
1609,gerookte-paprikapoeder zoet,7
1610,geroosterd zwart sesamzaad,7
1611,geroosterde amandelen,7
1612,geroosterde gele paprika's in pot,7
1613,geroosterde hazelnoten,7
1614,geroosterde pijnboompitten,7
1615,geroosterde rode paprika's in pot,7
1616,geroosterde sesamolie,7
1617,geroosterde sesamzaadjes,7
1618,geroosterde volkorenmuesli,7
1619,geschaafde Parmezaanse kaas,7
1620,geschaafde amandelen,7
1621,geschilde bospeen,7
1622,geschilde witte asperge,7
1623,geschoonde spruitjes,7
1624,geschrapte worteltjes,7
1625,gesneden Chinese kool,7
1626,gesneden andijvie,7
1627,gesneden boerenkool,7
1628,gesneden cavolo nero,7
1629,gesneden champignons,7
1630,gesneden ijsbergsla,7
1631,gesneden jonge kaas,7
1632,gesneden kastanjechampignons,7
1633,gesneden prei,7
1634,gesneden rode kool,7
1635,gesneden rode uien,7
1636,gesneden rodekool,7
1637,gesneden romainesla,7
1638,gesneden rosbief,7
1639,gesneden snijbonen,7
1640,gesneden spitskool,7
1641,gesneden uien,7
1642,gesneden witte kool,7
1643,gestampte muisjes,7
1644,geurloze kokosolie,7
1645,gevogeltefond,7
1646,gevriesdroogde bieslook,7
1647,gevriesdroogde dille,7
1648,gevriesdroogde fruit mix,7
1649,gevriesdroogde oregano,7
1650,gewelde abrikozen zonder pit,7
1651,gewelde pruimen,7
1652,gewelde pruimen zonder pit,7
1653,gezeefde tomaten,7
1654,gezeefde tomaten in pak,7
1655,gezoete gecondenseerde kokosmelk,7
1656,gezouten boter,7
1657,gezouten cashewnoten,7
1658,gezouten dry roasted pinda,7
1659,gezouten macadamianoten,7
1660,gezouten notenmix macadamia's,7
1661,gezouten notenmix met pistaches,7
1662,gezouten pecannoten,7
1663,gezouten pinda's,7
1664,gezouten roomboter,7
1665,ghee,7
1666,gin,7
1667,ginger ale,7
1668,ginger beer,7
1669,gist,7
1670,glittersuiker,7
1671,glutenvrij boekweitmeel,7
1672,glutenvrije sojasaus,7
1673,glutenvrije spaghetti,7
1674,gnocchi,7
1675,gnocchi di patate,7
1676,goji bessen,7
1677,gojibessen,7
1678,gordita,7
1679,gorgonzola,7
1680,gorgonzola blauwaderkaas 48+,7
1681,gorgonzola dolce,7
1682,gorgonzola piccante 48+,7
1683,gorgonzola piccante blauwaderkaas,7
1684,gormas,7
1685,gormas kaas 70+,7
1686,goudsalami,7
1687,graatloze gerookte makreelfilet,7
1688,granaatappel,7
1689,granaatappelmelasse,7
1690,granaatappelpitjes,7
1691,granaatappelsap,7
1692,granny smith appel,7
1693,granola,7
1694,grapefruit,7
1695,graskaas,7
1696,grenadinesiroop,7
1697,griesmeel,7
1698,grillworst,7
1699,groene appel,7
1700,groene asperges,7
1701,groene aspergetips,7
1702,groene currypasta,7
1703,groene erwten fusilli,7
1704,groene kidneybonen in blik,7
1705,groene knoflookolijven,7
1706,groene kool,7
1707,groene olijven,7
1708,groene olijven gevuld met citroen,7
1709,groene olijven gevuld met citroen in blik,7
1710,groene olijven met basilicum,7
1711,groene olijven met knoflook,7
1712,groene olijven met piment,7
1713,groene olijven zonder pit,7
1714,groene paprika,7
1715,groene paprika's,7
1716,groene peperkorrels,7
1717,groene pesto,7
1718,groene pesto in potje,7
1719,groene thee,7
1720,groene-aspergetips,7
1721,groente-tomatenpuree,7
1722,groentebouillon,7
1723,groentebouillon van tablet,7
1724,groentebouillontablet,7
1725,groentebouillontablet minder zout,7
1726,groentebouillontabletten,7
1727,groenteburger,7
1728,groentechips,7
1729,groentespread spinazie,7
