,ingredient,group
333,Grand’Italia Sugocasa Piccante in fles,2
334,Grand’Italia gnocchi,2
335,Granny Smith appel,2
336,Greenfields beefburger,2
337,Greenfields entrecote,2
338,Greenfields rosbieflapjes,2
339,Griekse extra vierge olijfolie,2
340,Griekse feta,2
341,Griekse kruiden,2
342,Griekse olijfolie,2
343,Griekse stijl yoghurt,2
344,Griekse yoghurt,2
345,Griekse yoghurt (0% vet),2
346,Griekse yoghurt (5% vet),2
347,Griekse yoghurt 0%,2
348,Griekse yoghurt 10%,2
349,Grissini Italiaanse soepstengels,2
350,Groene olijven bella cerignola,2
351,Groninger mosterd,2
352,Gruyère,2
353,Guru original BBQ sauce,2
354,HAK Rode en Bruine bonen mix,2
355,HAK burritoschotel in zak,2
356,"HAK doperwten, linzen en maismix in zak",2
357,HAK kidneybonen chili bonenschotel,2
358,HAK kleine rode kidneybonen in zak,2
359,HAK linzen in zak,2
360,HAK zwarte bonen in zak,2
361,Hak Bolognese schotel,2
362,"Hak bonenmix kidney-, bruine &amp; witte bonen in pot",2
363,Hak linzencurry,2
364,Hakubaku ramen noedels,2
365,Hakubaku udon-noedels,2
366,Hellmann's mayonaise,2
367,Herbamare kruidenzout,2
368,Hollandse,2
369,Hollandse Nieuwe (haring),2
370,Hollandse blauwaderkaas,2
371,Hollandse bruine bonen,2
372,Hollandse bruine bonen uit pot,2
373,Hollandse garnalen,2
374,Hollandse gehaktballetjes,2
375,Hollandse geitenkaas,2
376,Hollandse hangop,2
377,Hollandse rauwkost,2
378,Hollandse roerbakgroenten,2
379,Hollandse runderballetjes,2
380,Hollandse rundergehaktballetjes,2
381,Hollandse wokgroente,2
382,Honig kruidenpasta voor nasi speciaal,2
383,Honig meer dan lekker basis voor tomatensoep,2
384,IPA bier,2
385,Ierse runderriblap,2
386,Ilchester Cheddar tophat 48+,2
387,Indiase kruidenpasta,2
388,Indiase wokgroenten,2
389,Indonesische trassie,2
390,Indonesische wokgroente,2
391,Irish whiskey,2
392,Italiaans schepijs pistacchio,2
393,Italiaans schepijs spagnola,2
394,Italiaanse bol,2
395,Italiaanse champignonroerbakmix,2
396,Italiaanse kruiden,2
397,Italiaanse kruidenmix,2
398,Italiaanse olijfolie extra vierge,2
399,Italiaanse roerbakgroente,2
400,Italiaanse roerbakgroente cavolo nero,2
401,Italiaanse roerbakgroente champignons,2
402,Italiaanse roerbakgroente courgette,2
403,Italiaanse roerbakgroente fijngesneden,2
404,Italiaanse roerbakgroente kastanjechampignons &amp; prei,2
