Unnamed: 0,title,persons,time,calories,stars,url,image
0,"Romige kip met broccoli, prei en rijst",4,20,570,0,https://www.ah.nl/allerhande/recept/R-R1195514/romige-kip-met-broccoli-prei-en-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD152213_1024x748_JPG.jpg
0,Geroosterde aardappeltjes met gegrilde kipdij en koolsla,4,20,620,0,https://www.ah.nl/allerhande/recept/R-R1195507/geroosterde-aardappeltjes-met-gegrilde-kipdij-en-koolsla,https://static.ah.nl/static/recepten/img_RAM_PRD152209_1024x748_JPG.jpg
0,Tortellini met balletjes en tomatensaus,6,35,825,0,https://www.ah.nl/allerhande/recept/R-R1195505/tortellini-met-balletjes-en-tomatensaus,https://static.ah.nl/static/recepten/img_RAM_PRD150601_1024x748_JPG.jpg
0,"Romige linguine met brie, artisjok en parmaham",4,15,675,0,https://www.ah.nl/allerhande/recept/R-R1195504/romige-linguine-met-brie-artisjok-en-parmaham,https://static.ah.nl/static/recepten/img_RAM_PRD150600_1024x748_JPG.jpg
0,Kip met sinaasappel-hoisinsaus en rijst,4,15,575,0,https://www.ah.nl/allerhande/recept/R-R1195503/kip-met-sinaasappel-hoisinsaus-en-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD150435_1024x748_JPG.jpg
0,Vegan pizza 'Margherita',4,25,825,0,https://www.ah.nl/allerhande/recept/R-R1195494/vegan-pizza-margherita,https://static.ah.nl/static/recepten/img_RAM_PRD150633_1024x748_JPG.jpg
0,Vegan wraps met tofu en rodekoolsalade,4,20,670,0,https://www.ah.nl/allerhande/recept/R-R1195491/vegan-wraps-met-tofu-en-rodekoolsalade,https://static.ah.nl/static/recepten/img_RAM_PRD150634_1024x748_JPG.jpg
0,Côte de boeuf met kruidige rub,4,30,660,0,https://www.ah.nl/allerhande/recept/R-R1195402/cote-de-boeuf-met-kruidige-rub,https://static.ah.nl/static/recepten/img_RAM_PRD149226_1024x748_JPG.jpg
0,Nectarinejam,4,20,840,0,https://www.ah.nl/allerhande/recept/R-R1195369/nectarinejam,https://static.ah.nl/static/recepten/img_RAM_PRD149258_1024x748_JPG.jpg
0,Kruidenquiche met ham en prei,4,20,780,0,https://www.ah.nl/allerhande/recept/R-R1195366/kruidenquiche-met-ham-en-prei,https://static.ah.nl/static/recepten/img_RAM_PRD149253_1024x748_JPG.jpg
0,Pasta met kruidenpangrattato,4,30,580,0,https://www.ah.nl/allerhande/recept/R-R1195364/pasta-met-kruidenpangrattato,https://static.ah.nl/static/recepten/img_RAM_PRD149262_1024x748_JPG.jpg
